"ÉTUDE SALAIRE 2018 - Paysagiste Concepteur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","1270896","06/11/2018 - 07:03","06/11/2018 - 07:03","06/11/2018 - 07:03","0","0.0.0.0","0","Anonymous","INH","","2014","X","","3","Autre","Brest ","Agence","","2-5","Entreprise architecture","Chargé(e) d'étude","","","","","X","","X","X","X","X","X","X","X","X","","","1","20500","0"
"159","1271040","06/11/2018 - 08:09","06/11/2018 - 08:09","06/11/2018 - 08:09","0","0.0.0.0","0","Anonymous","ENSAPBX","","2018","","X","0","Autre","Avignon","Bureau d'études","","2-5","Entreprises paysagistes","Chargé(e) d'étude débutant","","","","","X","X","X","X","","X","X","","","","","","0","25850","0"
"164","1273066","06/11/2018 - 12:49","06/11/2018 - 12:49","06/11/2018 - 12:49","0","0.0.0.0","0","Anonymous","Autre","Master Landscape Architecture","2013","","X","4","Angleterre","","Bureau d'études","","11-25","Aucune","Chargé(e) d'étude","","X","","X","X","","X","X","","","X","X","X","X","X","X","3","37800","0"
"165","1273582","06/11/2018 - 14:05","06/11/2018 - 14:05","06/11/2018 - 14:05","0","0.0.0.0","0","Anonymous","INH","","2015","X","","2","Autre","Vendée","Autre","Entreprise travaux","26-50","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","","","","","","","","","","","","X","X","2","31200","500"
"166","1273594","06/11/2018 - 14:08","06/11/2018 - 14:08","06/11/2018 - 14:08","0","0.0.0.0","0","Anonymous","INH","","2015","X","","2","Autre","Vendée","Autre","Entreprise travaux","26-50","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","X","","","","","","","","","","","X","X","2","28512","2000"
"167","1276199","06/11/2018 - 22:15","06/11/2018 - 22:15","06/11/2018 - 22:15","0","0.0.0.0","0","Anonymous","Autre","Ingénieur en architecture du paysage HEPIA","2008","","X","10","Nantes","","Agence","","201-500","Syntec","Chef(fe) de projet confirmé","","X","","X","X","X","","X","X","X","X","X","X","X","","X","1","41000","0"
"168","1276254","06/11/2018 - 22:31","06/11/2018 - 22:31","06/11/2018 - 22:31","0","0.0.0.0","0","Anonymous","INH","","2012","","X","5","Nantes","","Bureau d'études","","201-500","Syntec","Chargé(e) d'étude","","X","","","X","","","","","X","X","X","X","X","X","","4","25000","0"
"169","1276394","06/11/2018 - 23:05","06/11/2018 - 23:05","06/11/2018 - 23:05","0","0.0.0.0","0","Anonymous","ENSNP","","2012","X","","4","Nantes","","Agence","","6-10","Entreprises d’architecture ","Chargé(e) d'étude","","","","","X","","","X","X","X","X","X","X","X","X","","2","27000","500"
"170","1276880","07/11/2018 - 08:55","07/11/2018 - 08:55","07/11/2018 - 08:55","0","0.0.0.0","0","Anonymous","INH","","2009","X","","9","Strasbourg","","Public","","1001-...","fonction publique ","Chef(fe) de projet","","X","","X","X","X","X","X","","X","X","X","X","X","X","","5","32000","0"
"171","1281469","07/11/2018 - 21:34","07/11/2018 - 21:34","07/11/2018 - 21:34","0","0.0.0.0","0","Anonymous","ENSAPL","","2012","X","","5","Nantes","","Bureau d'études","","11-25","bureau etudes techniques","Chargé(e) d'étude","","X","","","X","","X","X","","X","X","X","X","X","X","","1","28800","0"
"172","1281480","07/11/2018 - 21:36","07/11/2018 - 21:36","07/11/2018 - 21:36","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","X","","1","Autre","Compiègne","Bureau d'études","","6-10","Syntec","Chargé(e) d'étude","","","X","X","X","","","X","X","X","X","X","X","","X","X","1","31150","2400"
"174","1281568","07/11/2018 - 21:56","07/11/2018 - 21:56","07/11/2018 - 21:56","0","0.0.0.0","0","Anonymous","ENSAPL","","2017","X","","1","Paris","","Agence","","6-10","Entreprises paysagistes","Assistant(e) de projet","","X","X","X","X","","","X","X","","X","X","X","","X","","1","29640","0"
"175","1284657","08/11/2018 - 13:51","08/11/2018 - 13:51","08/11/2018 - 13:51","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","","X","2","Lyon","","Bureau d'études","","11-25","Entreprises paysagistes","Chargé(e) d'étude","","X","","","X","","","X","X","X","X","X","X","X","X","","2","31200","000"
"176","1292917","10/11/2018 - 10:58","10/11/2018 - 10:58","10/11/2018 - 10:58","0","0.0.0.0","0","Anonymous","ENSAPL","","2017","","X","1","Nice","","Public","","1001-...","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","","X","X","","X","X","X","X","","X","X","1","31000","0"
"177","1294372","10/11/2018 - 21:14","10/11/2018 - 21:14","10/11/2018 - 21:14","0","0.0.0.0","0","Anonymous","INH","","2011","X","","7","Autre","Béziers","Public","","1001-...","fonction publique","Directeur(trice) d'agence","","X","X","X","X","X","X","X","","X","X","X","X","X","X","","4","40000","850"
"178","1294613","11/11/2018 - 00:45","11/11/2018 - 00:45","11/11/2018 - 00:45","0","0.0.0.0","0","Anonymous","ENSAPBX","","2015","X","","2","Autre","La Rochelle","Agence","","6-10","Entreprises d’architecture ","Chargé(e) d'étude","","","","","","","","X","X","X","X","X","X","X","","","2","24500","600"
"179","1294665","11/11/2018 - 06:27","11/11/2018 - 06:27","11/11/2018 - 06:27","0","0.0.0.0","0","Anonymous","INH","","2016","","X","2","Paris","","Bureau d'études","","11-25","Entreprises paysagistes","Chef(fe) de projet","","X","","X","X","X","X","X","","X","X","X","X","","X","X","1","21000","0"
"180","1294694","11/11/2018 - 08:19","11/11/2018 - 08:19","11/11/2018 - 08:19","0","0.0.0.0","0","Anonymous","INH","","2016","X","","2","Autre","creuse","Freelance / Indépendant","","1","Entreprises paysagistes","Chef(fe) de projet","","X","","","X","X","X","X","X","X","X","X","X","X","","X","1","25000","0"
"181","1294704","11/11/2018 - 08:25","11/11/2018 - 08:25","11/11/2018 - 08:25","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Autre","Narbonne","Agence","","2-5","Entreprises paysagistes, entreprises d'architecture","Dessinateur(trice) projeteur","","","","","X","","X","X","X","X","X","X","X","","","","1","21600","0"
"182","1295060","11/11/2018 - 11:29","11/11/2018 - 11:29","11/11/2018 - 11:29","0","0.0.0.0","0","Anonymous","INH","","2018","X","","0","Autre","Normandie","Public","","51-200","Fonction publique","Chargé(e) d'étude débutant","","X","","","X","","","X","","X","","","","","","","0","17982","0"
"183","1295065","11/11/2018 - 11:32","11/11/2018 - 11:32","11/11/2018 - 11:32","0","0.0.0.0","0","Anonymous","INH","","2016","X","","2","Autre","Pas de Calais ","Public","","51-200","Établissement public","Chargé(e) d'étude","","X","","","X","X","X","X","","X","X","X","X","X","X","","1","25200","0"
"184","1295328","11/11/2018 - 13:49","11/11/2018 - 13:49","11/11/2018 - 13:49","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2018","","X","0","Lyon","","Agence","","11-25","Entreprises paysagistes","Chargé(e) d'étude débutant","","X","","","X","","X","X","X","X","X","X","X","X","","","0","26000","0"
"185","1297505","12/11/2018 - 07:38","12/11/2018 - 07:38","12/11/2018 - 07:38","0","0.0.0.0","0","Anonymous","INH","","2016","X","","2","Nantes","","Agence","","11-25","Code du travail","Chargé(e) d'étude","","","","","X","","X","X","X","X","X","X","X","X","X","","2","34800","700"
"186","1300267","12/11/2018 - 12:31","12/11/2018 - 12:31","17/11/2018 - 10:27","0","0.0.0.0","0","Anonymous","INH","","2017","","X","1","Paris","","Public","","1001-...","Fonction publique","Autre","Adjointe à la cheffe de la Division Expertise Sol Vegetal","X","","X","","X","X","","","","","","","","","","1","34000","0"
"187","1301081","12/11/2018 - 14:24","12/11/2018 - 14:24","12/11/2018 - 14:24","0","0.0.0.0","0","Anonymous","ENSP Marseille","","2017","X","","1","Lyon","","Agence","","2-5","Entreprises paysagistes","Chef(fe) de projet débutant","","X","","","X","","","X","X","X","X","X","X","","","","1","27300","0"
"188","1303528","12/11/2018 - 19:07","12/11/2018 - 19:07","12/11/2018 - 19:07","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","","X","2","Paris","","Agence","","26-50","Entreprises d'architecture","Assistant(e) de projet","","X","X","","X","X","","","X","X","X","X","X","X","X","","1","25430","120"
"190","1304714","12/11/2018 - 22:39","12/11/2018 - 22:39","23/11/2018 - 21:14","0","0.0.0.0","0","Anonymous","Lullier","","2010","","X","8","Strasbourg","","Bureau d'études","","51-200","Entreprises paysagistes","Chargé(e) d'étude","","X","","X","X","X","","X","","","","","","","","X","2","36500","2000"
"191","1305073","13/11/2018 - 06:48","13/11/2018 - 06:48","13/11/2018 - 06:48","0","0.0.0.0","0","Anonymous","INH","","2014","X","","4","Strasbourg","","Public","","11-25","Entreprises paysagistes","Autre","","X","X","X","X","X","","","","","","","","","","","2","26500","0"
"193","1306687","13/11/2018 - 11:50","13/11/2018 - 11:50","13/11/2018 - 11:50","0","0.0.0.0","0","Anonymous","INH","","2017","X","","1","Lyon","","Conseil","","11-25","CAUE","Chargé(e) d'étude","","","","X","X","","X","X","","","","","","","","","0","34000","0"
"194","1310355","13/11/2018 - 21:37","13/11/2018 - 21:37","13/11/2018 - 21:37","0","0.0.0.0","0","Anonymous","INH","","2013","X","","4","Autre","Limoges","Bureau d'études","","26-50","Entreprises paysagistes","Chef(fe) de projet","","X","","X","","","","X","","","","","","","","","1","26832","1000"
"196","1312464","14/11/2018 - 11:56","14/11/2018 - 11:56","23/11/2018 - 21:15","0","0.0.0.0","0","Anonymous","ITIAPE - ISA Lille","","2016","","X","4","Nantes","","Autre","Entreprise Privée","6-10","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","X","X","X","X","X","","X","X","X","","","X","X","1","27990","800"
"197","1320246","15/11/2018 - 18:07","15/11/2018 - 18:07","15/11/2018 - 18:07","0","0.0.0.0","0","Anonymous","Autre","Master","2008","X","","10","Île-de-France","","Freelance / Indépendant","","1","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","","X","","","","X","X","X","X","X","X","","","5","31200","24000"
"198","1328639","18/11/2018 - 09:00","18/11/2018 - 09:00","18/11/2018 - 09:00","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2016","X","","2","Île-de-France","","Public","","2-5","Fonction publique","Chargé(e) d'étude débutant","","X","X","X","X","","X","X","","","","","","","","","1","35100","0"
"199","1331865","19/11/2018 - 08:52","19/11/2018 - 08:52","19/11/2018 - 08:52","0","0.0.0.0","0","Anonymous","ESAJ","","1983","","X","33","Île-de-France","","Public","","1001-...","Fonction publique","Chargé(e) d'étude","","","","X","X","","X","","","X","X","X","X","","X","","30","37130","2000"
"200","1331875","19/11/2018 - 08:54","19/11/2018 - 08:54","19/11/2018 - 08:54","0","0.0.0.0","0","Anonymous","ENSAPL","","2018","","X","1","Île-de-France","","Agence","","11-25","Agence architecte paysagistes","Chargé(e) d'étude débutant","","","","","X","","X","X","","X","X","","","","","","0","28060","400"
"201","1331979","19/11/2018 - 09:13","19/11/2018 - 09:13","19/11/2018 - 09:13","0","0.0.0.0","0","Anonymous","Autre","Tecomah","2014","X","","4","Île-de-France","","Autre","Entreprise de paysage","11-25","Entreprises paysagistes","Chargé(e) d'étude","","X","","X","X","X","","X","","","","","","","X","X","4","31000","150"
"202","1331983","19/11/2018 - 09:14","19/11/2018 - 09:14","19/11/2018 - 09:14","0","0.0.0.0","0","Anonymous","Autre","Brevet de technicien option espace vert","1981","X","","38","Paris","","Public","","1001-...","Fonctionnaire","Chef(fe) de projet confirmé","","X","","X","X","","X","X","","X","X","X","X","X","X","","38","55800","0"
"203","1332055","19/11/2018 - 09:21","19/11/2018 - 09:21","19/11/2018 - 09:21","0","0.0.0.0","0","Anonymous","Autre","Licence pro aménagement du paysage","2013","","X","5","Autre","Cholet","Public","","51-200","Fonction publique","Chargé(e) d'étude","","X","","","X","","X","X","","X","X","X","X","X","","","4","24960","500"
"204","1332554","19/11/2018 - 10:22","19/11/2018 - 10:22","19/11/2018 - 10:22","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","X","","1","Paris","","Agence","","2-5","Entreprises paysagistes","Chef(fe) de projet débutant","","","","","X","X","","X","X","X","X","X","X","X","X","","1","25016","1800"
"205","1332906","19/11/2018 - 11:11","19/11/2018 - 11:11","19/11/2018 - 11:11","0","0.0.0.0","0","Anonymous","ENSAPBX","","2014","X","","2","Bordeaux","","Agence","","26-50","Entreprises architectes","Dessinateur(trice) projeteur","","","","","","","","","","","","X","X","X","","","1","27768","0"
"206","1333336","19/11/2018 - 11:56","19/11/2018 - 11:56","19/11/2018 - 11:56","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","2","Paris","","Agence","","2-5","Entreprises paysagistes","Chef(fe) de projet débutant","","X","","X","X","","X","X","X","X","X","X","X","X","X","","2","29640","0"
"207","1333616","19/11/2018 - 12:37","19/11/2018 - 12:37","19/11/2018 - 12:37","0","0.0.0.0","0","Anonymous","ENSAPBX","","2011","X","","7","Toulouse","","Agence","","2-5","Entreprises d'architecture","Chef(fe) de projet confirmé","","X","","","X","X","","X","X","X","X","X","X","X","X","","7","21100","500"
"208","1333885","19/11/2018 - 13:26","19/11/2018 - 13:26","19/11/2018 - 13:26","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2012","X","","6","Paris","","Agence","","2-5","Entreprises d'architecture","Chef(fe) de projet","","X","","X","X","X","X","X","X","X","X","X","X","X","X","X","2","25500","0"
"209","1334680","19/11/2018 - 15:18","19/11/2018 - 15:18","19/11/2018 - 15:18","0","0.0.0.0","0","Anonymous","ENSAPBX","","2016","X","","2","Bordeaux","","Bureau d'études","","2-5","Entreprises paysagistes","Chargé(e) d'étude","","X","","X","X","X","X","X","","","","","","","","X","4","23400","500"
"210","1336340","19/11/2018 - 19:17","19/11/2018 - 19:17","19/11/2018 - 19:17","0","0.0.0.0","0","Anonymous","Autre","Licence pro infographie","2012","X","","6","Rennes","","Autre","Pme","6-10","Entreprises paysagistes","Autre","Assistance global","X","X","X","X","X","X","","","X","","","","","X","X","6","29000","0"
"211","1336544","19/11/2018 - 20:03","19/11/2018 - 20:03","19/11/2018 - 20:03","0","0.0.0.0","0","Anonymous","INH","","2015","","X","2","Toulouse","","Bureau d'études","","11-25","Syntec","Chef(fe) de projet","","X","","X","X","X","","X","X","","","","","","","","2","25000","0"
"212","1336978","19/11/2018 - 21:19","19/11/2018 - 21:19","19/11/2018 - 21:19","0","0.0.0.0","0","Anonymous","Lullier","","2015","","X","2","Suisse","","Autre","Garden centre avec design fleuriste et paysagiste ","26-50","Entreprises paysagistes","Autre","Responsable de vente plantes","","X","X","","","","","","","","","","","","X","1","40000","700"
"213","1337076","19/11/2018 - 21:35","19/11/2018 - 21:35","19/11/2018 - 21:35","0","0.0.0.0","0","Anonymous","ESAJ","","2008","","X","10","Île-de-France","","Public","","51-200","Fonction publique ","Autre","Chef de service","X","X","X","X","X","X","X","","X","X","X","X","X","X","X","8","35000","5000"
"214","1337094","19/11/2018 - 21:38","19/11/2018 - 21:38","19/11/2018 - 21:38","0","0.0.0.0","0","Anonymous","ENSAPBX","","2017","X","","1","Autre","Rouen","Bureau d'études","","26-50","Bureau d'études techniques","Chargé(e) d'étude débutant","","X","","","X","X","X","X","X","X","X","X","","X","","X","1","24000","500"
"215","1337273","19/11/2018 - 22:02","19/11/2018 - 22:02","19/11/2018 - 22:02","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","0","Autre","Montpellier","Autre","conception (particuliers) et réalisation (chantiers publics)","26-50","convention collective du paysage","Chargé(e) d'étude","","X","","","X","","","X","","X","","","","","X","","0","24000","50"
"216","1337588","19/11/2018 - 23:14","19/11/2018 - 23:14","19/11/2018 - 23:14","0","0.0.0.0","0","Anonymous","ENSAPBX","","2018","X","","1","Bordeaux","","Agence","","6-10","Entreprises paysagistes","Assistant(e) de projet","","X","","","","","","","","X","X","X","","","","","066","25000","800"
"217","1339904","20/11/2018 - 12:33","20/11/2018 - 12:33","20/11/2018 - 12:33","0","0.0.0.0","0","Anonymous","ENSAPBX","","2003","","X","15","Bordeaux","","Freelance / Indépendant","","1","entreprises paysagistes","Directeur(trice) d'agence","","X","","","X","X","X","X","X","X","X","X","X","X","X","X","10","30000","2000"
"218","1339950","20/11/2018 - 12:43","20/11/2018 - 12:43","20/11/2018 - 12:43","0","0.0.0.0","0","Anonymous","ITIAPE - ISA Lille","","2010","","X","8","Nantes","","Autre","Entreprise de paysage","11-25","Entreprises paysagistes","Chargé(e) d'étude confirmé","","X","","X","X","X","X","","","X","X","X","","","X","X","6","42000","4000"
"219","1342118","20/11/2018 - 18:04","20/11/2018 - 18:04","20/11/2018 - 18:04","0","0.0.0.0","0","Anonymous","Gembloux","","2014","","X","5","Île-de-France","","Bureau d'études","","6-10","Entreprises paysagistes","Chef(fe) de projet","","X","X","","X","","","X","X","X","X","X","X","","X","X","5","24766","240"
"220","1343182","20/11/2018 - 21:45","20/11/2018 - 21:45","20/11/2018 - 21:45","0","0.0.0.0","0","Anonymous","Autre","Licence professionnelle Aménagement du Paysage","2008","","X","10","Lyon","","Bureau d'études","","6-10","Syntec","Chef(fe) de projet confirmé","","","","X","","","","X","X","X","X","X","X","X","X","X","8","32400","5500"
"221","1343523","20/11/2018 - 23:18","20/11/2018 - 23:18","20/11/2018 - 23:18","0","0.0.0.0","0","Anonymous","INH","","2016","X","","2","Autre","dax","Bureau d'études","","2-5","syntec","Chargé(e) d'étude","","X","","","X","X","","X","","X","X","X","X","X","X","X","2","21894","1680"
"222","1344016","21/11/2018 - 08:47","21/11/2018 - 08:47","21/11/2018 - 08:47","0","0.0.0.0","0","Anonymous","ENSAPL","","2015","","X","2","Île-de-France","","Public","","1001-...","Collectivité ","Chef(fe) de projet","","","","X","X","X","X","","","","","","","","","","2","33000","0"
"223","1344121","21/11/2018 - 09:05","21/11/2018 - 09:05","21/11/2018 - 09:05","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2017","","X","1","Lyon","","Freelance / Indépendant","","1","Entreprises paysagistes","Chef(fe) de projet débutant","","X","","","X","X","","X","X","X","X","X","X","X","X","X","1","24960","0"
"224","1344680","21/11/2018 - 10:19","21/11/2018 - 10:19","21/11/2018 - 10:19","0","0.0.0.0","0","Anonymous","ENSP Versailles","","1999","X","","19","Autre","","Public","","1001-...","fonction public","Chef(fe) de projet","","X","","","X","","X","","","X","X","X","X","X","X","","19","45600","0"
"225","1345308","21/11/2018 - 11:49","21/11/2018 - 11:49","21/11/2018 - 11:49","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2012","","X","7","Paris","","Agence","","11-25","Entreprises architecture ","Chef(fe) de projet","","","","X","X","","","","","","X","X","X","X","X","","4","41000","0"
"226","1345617","21/11/2018 - 12:31","21/11/2018 - 12:31","21/11/2018 - 12:31","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2016","","X","2","Paris","","Freelance / Indépendant","","1","Entreprises paysagistes","Autre","Polyvalente : jardinier, concepteur...","X","X","","X","","","X","","","","","","","X","","2","18000","500"
"227","1345988","21/11/2018 - 13:58","21/11/2018 - 13:58","21/11/2018 - 13:58","0","0.0.0.0","0","Anonymous","INH","","2014","X","","4","Île-de-France","","Bureau d'études","","51-200","Entreprises paysagistes","Assistant(e) d'étude","","X","","","","","","","","","","","","","","","4","28800","50"
"228","1346884","21/11/2018 - 16:19","21/11/2018 - 16:19","21/11/2018 - 16:19","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2015","","X","3","Paris","","Agence","","6-10","Entreprises d'architecture","Chef(fe) de projet débutant","","X","","","X","","","X","","","X","X","X","","X","","1","33500","1500"
"229","1347987","21/11/2018 - 19:33","21/11/2018 - 19:33","21/11/2018 - 19:33","0","0.0.0.0","0","Anonymous","INH","","2018","X","","0","Autre","Angers","Agence","","2-5","Entreprises paysagistes","Assistant(e) de projet","","","","","X","","","","X","X","X","X","X","X","","X","0","20000","0"
"230","1348718","21/11/2018 - 22:40","21/11/2018 - 22:40","21/11/2018 - 22:40","0","0.0.0.0","0","Anonymous","ENSNP","","2012","","X","5","Nantes","","Association","","11-25","Néant ","Chargé(e) d'étude","","","","X","X","","","","","","","","","","","","3","33000","1800"
"231","1350969","22/11/2018 - 13:21","22/11/2018 - 13:21","22/11/2018 - 13:21","0","0.0.0.0","0","Anonymous","INH","","2011","X","","7","Autre","Pays de la Loire / Maine-et-Loire","Bureau d'études","","11-25"," bureaux d’études techniques - Syntec","Chargé(e) d'étude","","X","X","X","X","","","X","","X","","","","","","X","6","30941","0"
"232","1354725","23/11/2018 - 08:15","23/11/2018 - 08:15","23/11/2018 - 08:15","0","0.0.0.0","0","Anonymous","INH","","2004","","X","14","Île-de-France","","Maîtrise d'œuvre","","6-10","Bet technique ","Directeur(trice) de société","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","11","60000","5000"
"233","1355305","23/11/2018 - 10:05","23/11/2018 - 10:05","23/11/2018 - 10:05","0","0.0.0.0","0","Anonymous","ENSAPL","","2013","","X","4","Lille","","Freelance / Indépendant","","1","Entreprises paysagistes","Directeur(trice) d'agence","","X","","","X","","","X","X","X","X","X","X","X","X","X","4","44000","0"
"234","1355338","23/11/2018 - 10:09","23/11/2018 - 10:09","23/11/2018 - 10:09","0","0.0.0.0","0","Anonymous","ENSAPL","","2013","X","","5","Paris","","Bureau d'études","","51-200","Bureau d'études en urbanisme et ingénierie","Directeur(trice) d'agence","","X","","X","X","X","X","X","","","","","","","","X","3","36800","2050"
"235","1355394","23/11/2018 - 10:17","23/11/2018 - 10:17","23/11/2018 - 10:17","0","0.0.0.0","0","Anonymous","ENSAPL","","2010","X","","8","Autre","Bruxelles","Public","","51-200","fonction publique","Chef(fe) de projet","","X","X","X","X","","X","X","","","","","","X","","","3","36000","500"
"236","1355442","23/11/2018 - 10:26","23/11/2018 - 10:26","23/11/2018 - 10:26","0","0.0.0.0","0","Anonymous","ENSAPL","","2010","X","","8","Autre","ariège","Autre","microentreprise","1","entreprise d'architecture","Autre","","X","","","X","X","","X","X","X","X","X","X","X","X","X","7","27800","0"
"237","1355456","23/11/2018 - 10:28","23/11/2018 - 10:28","23/11/2018 - 10:28","0","0.0.0.0","0","Anonymous","ENSAPL","","2012","X","","4","Bordeaux","","Agence","","2-5","Entreprises paysagistes","Assistant(e) de projet","","X","","X","X","","","X","X","X","X","X","X","X","X","X","3","29640","200"
"238","1355656","23/11/2018 - 10:57","23/11/2018 - 10:57","23/11/2018 - 10:57","0","0.0.0.0","0","Anonymous","ENSAPL","","2015","X","","2","Autre","Cantal","Agence","","11-25","Entreprise d'architecture","Chargé(e) d'étude","","","","","X","X","X","X","X","X","X","X","X","","X","","2","20750","4200"
"239","1356071","23/11/2018 - 12:02","23/11/2018 - 12:02","23/11/2018 - 12:02","0","0.0.0.0","0","Anonymous","ENSAPL","","2010","","X","8","Île-de-France","","Maîtrise d'œuvre","","1001-...","Syntec ingénierie","Directeur(trice) d'agence","","X","X","X","X","X","","","X","X","X","X","X","X","","X","2","58000","2000"
"240","1356688","23/11/2018 - 14:20","23/11/2018 - 14:20","23/11/2018 - 14:20","0","0.0.0.0","0","Anonymous","ENSAPL","","2013","","X","5","Autre","normandie","Freelance / Indépendant","","1","Entreprises paysagistes","Autre","formateur","","","","","","X","","","","","","","","","","5","19000","500"
"241","1356844","23/11/2018 - 14:48","23/11/2018 - 14:48","23/11/2018 - 14:48","0","0.0.0.0","0","Anonymous","ENSP Versailles","","2012","","X","6","Lille","","Agence","","6-10","Entreprises d'architectes","Chef(fe) de projet","","X","","","X","","X","X","X","X","X","X","X","X","X","X","3","35250","2200"
"242","1357501","23/11/2018 - 16:32","23/11/2018 - 16:32","23/11/2018 - 16:32","0","0.0.0.0","0","Anonymous","ENSAPL","","2016","","X","1","Paris","","Autre","Entreprise paysagiste","11-25","entreprises paysagistes","Chef(fe) de projet","","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","1","19400","180"
